period,year,quarter,county,chargers,zev_sales
2020-Q2,2020,2,Alameda,2990,1101
2020-Q2,2020,2,Alpine,12,0
2020-Q2,2020,2,Amador,29,5
2020-Q2,2020,2,Butte,74,30
2020-Q2,2020,2,Calaveras,7,6
2020-Q2,2020,2,Colusa,28,2
2020-Q2,2020,2,Contra Costa,1068,668
2020-Q2,2020,2,Del Norte,30,0
2020-Q2,2020,2,El Dorado,150,73
2020-Q2,2020,2,Fresno,684,142
2020-Q2,2020,2,Glenn,14,1
2020-Q2,2020,2,Humboldt,105,22
2020-Q2,2020,2,Imperial,15,10
2020-Q2,2020,2,Inyo,23,3
2020-Q2,2020,2,Kern,241,85
2020-Q2,2020,2,Kings,122,15
2020-Q2,2020,2,Lake,10,6
2020-Q2,2020,2,Lassen,4,1
2020-Q2,2020,2,Los Angeles,16770,4729
2020-Q2,2020,2,Madera,84,19
2020-Q2,2020,2,Marin,629,278
2020-Q2,2020,2,Mariposa,16,1
2020-Q2,2020,2,Mendocino,110,19
2020-Q2,2020,2,Merced,94,18
2020-Q2,2020,2,Modoc,4,0
2020-Q2,2020,2,Mono,31,4
2020-Q2,2020,2,Monterey,348,84
2020-Q2,2020,2,Napa,316,53
2020-Q2,2020,2,Nevada,86,22
2020-Q2,2020,2,Orange,4799,2173
2020-Q2,2020,2,Placer,305,155
2020-Q2,2020,2,Plumas,5,2
2020-Q2,2020,2,Riverside,1306,603
2020-Q2,2020,2,Sacramento,1438,412
2020-Q2,2020,2,San Benito,44,13
2020-Q2,2020,2,San Bernardino,999,467
2020-Q2,2020,2,San Diego,6073,1235
2020-Q2,2020,2,San Francisco,1264,533
2020-Q2,2020,2,San Joaquin,306,147
2020-Q2,2020,2,San Luis Obispo,442,90
2020-Q2,2020,2,San Mateo,3617,626
2020-Q2,2020,2,Santa Barbara,437,168
2020-Q2,2020,2,Santa Clara,14164,1669
2020-Q2,2020,2,Santa Cruz,250,122
2020-Q2,2020,2,Shasta,57,24
2020-Q2,2020,2,Sierra,1,1
2020-Q2,2020,2,Siskiyou,55,3
2020-Q2,2020,2,Solano,369,123
2020-Q2,2020,2,Sonoma,670,189
2020-Q2,2020,2,Stanislaus,122,65
2020-Q2,2020,2,Sutter,20,15
2020-Q2,2020,2,Tehama,32,4
2020-Q2,2020,2,Trinity,4,1
2020-Q2,2020,2,Tulare,76,27
2020-Q2,2020,2,Tuolumne,45,4
2020-Q2,2020,2,Ventura,749,343
2020-Q2,2020,2,Yolo,264,74
2020-Q2,2020,2,Yuba,14,1
2020-Q3,2020,3,Alameda,3082,1635
2020-Q3,2020,3,Alpine,13,0
2020-Q3,2020,3,Amador,30,9
2020-Q3,2020,3,Butte,76,40
2020-Q3,2020,3,Calaveras,7,13
2020-Q3,2020,3,Colusa,28,0
2020-Q3,2020,3,Contra Costa,1325,1000
2020-Q3,2020,3,Del Norte,30,4
2020-Q3,2020,3,El Dorado,160,115
2020-Q3,2020,3,Fresno,779,263
2020-Q3,2020,3,Glenn,14,6
2020-Q3,2020,3,Humboldt,114,26
2020-Q3,2020,3,Imperial,27,11
2020-Q3,2020,3,Inyo,23,6
2020-Q3,2020,3,Kern,279,138
2020-Q3,2020,3,Kings,140,22
2020-Q3,2020,3,Lake,15,13
2020-Q3,2020,3,Lassen,5,0
2020-Q3,2020,3,Los Angeles,18509,7213
2020-Q3,2020,3,Madera,89,13
2020-Q3,2020,3,Marin,684,456
2020-Q3,2020,3,Mariposa,16,2
2020-Q3,2020,3,Mendocino,129,26
2020-Q3,2020,3,Merced,114,48
2020-Q3,2020,3,Modoc,4,0
2020-Q3,2020,3,Mono,31,8
2020-Q3,2020,3,Monterey,360,134
2020-Q3,2020,3,Napa,348,106
2020-Q3,2020,3,Nevada,88,65
2020-Q3,2020,3,Orange,4886,3835
2020-Q3,2020,3,Placer,339,297
2020-Q3,2020,3,Plumas,5,2
2020-Q3,2020,3,Riverside,1360,978
2020-Q3,2020,3,Sacramento,1765,717
2020-Q3,2020,3,San Benito,42,28
2020-Q3,2020,3,San Bernardino,1297,740
2020-Q3,2020,3,San Diego,6760,2373
2020-Q3,2020,3,San Francisco,1384,1072
2020-Q3,2020,3,San Joaquin,326,254
2020-Q3,2020,3,San Luis Obispo,486,143
2020-Q3,2020,3,San Mateo,3758,977
