period,year,quarter,county,fuel_type,sales
2008-Q3,2008,3,Alameda,Electric,1
2008-Q3,2008,3,San Francisco,Electric,1
2008-Q3,2008,3,San Mateo,Electric,3
2008-Q3,2008,3,Santa Clara,Electric,4
2008-Q3,2008,3,Sonoma,Electric,1
2008-Q4,2008,4,Alameda,Electric,5
2008-Q4,2008,4,Contra Costa,Electric,1
2008-Q4,2008,4,Los Angeles,Electric,17
2008-Q4,2008,4,Marin,Electric,3
2008-Q4,2008,4,Napa,Electric,1
2008-Q4,2008,4,Orange,Electric,1
2008-Q4,2008,4,Out Of State,Electric,2
2008-Q4,2008,4,San Bernardino,Electric,1
2008-Q4,2008,4,San Diego,Electric,3
2008-Q4,2008,4,San Francisco,Electric,7
2008-Q4,2008,4,San Luis Obispo,Electric,1
2008-Q4,2008,4,San Mateo,Electric,6
2008-Q4,2008,4,Santa Barbara,Electric,1
2008-Q4,2008,4,Santa Clara,Electric,14
2008-Q4,2008,4,Sonoma,Electric,1
2008-Q4,2008,4,Ventura,Electric,1
2009-Q1,2009,1,Alameda,Electric,5
2009-Q1,2009,1,Contra Costa,Electric,1
2009-Q1,2009,1,Kern,Electric,1
2009-Q1,2009,1,Los Angeles,Electric,18
2009-Q1,2009,1,Marin,Electric,2
2009-Q1,2009,1,Orange,Electric,3
2009-Q1,2009,1,Placer,Electric,1
2009-Q1,2009,1,Sacramento,Electric,2
2009-Q1,2009,1,San Diego,Electric,2
2009-Q1,2009,1,San Francisco,Electric,2
2009-Q1,2009,1,San Mateo,Electric,3
2009-Q1,2009,1,Santa Clara,Electric,8
2009-Q1,2009,1,Santa Cruz,Electric,1
2009-Q1,2009,1,Sonoma,Electric,1
2009-Q1,2009,1,Ventura,Electric,1
2009-Q2,2009,2,Alameda,Electric,1
2009-Q2,2009,2,Contra Costa,Electric,3
2009-Q2,2009,2,Fresno,Electric,1
2009-Q2,2009,2,Los Angeles,Electric,43
2009-Q2,2009,2,Marin,Electric,5
2009-Q2,2009,2,Monterey,Electric,1
2009-Q2,2009,2,Napa,Electric,1
2009-Q2,2009,2,Orange,Electric,20
2009-Q2,2009,2,Out Of State,Electric,1
2009-Q2,2009,2,Placer,Electric,1
2009-Q2,2009,2,Sacramento,Electric,1
2009-Q2,2009,2,San Diego,Electric,15
2009-Q2,2009,2,San Francisco,Electric,4
2009-Q2,2009,2,San Joaquin,Electric,1
2009-Q2,2009,2,San Mateo,Electric,20
2009-Q2,2009,2,Santa Barbara,Electric,4
2009-Q2,2009,2,Santa Clara,Electric,20
2009-Q2,2009,2,Santa Cruz,Electric,1
2009-Q2,2009,2,Sonoma,Electric,1
2009-Q2,2009,2,Ventura,Electric,4
2009-Q3,2009,3,Alameda,Electric,1
2009-Q3,2009,3,Contra Costa,Electric,1
2009-Q3,2009,3,Los Angeles,Electric,141
2009-Q3,2009,3,Los Angeles,Hydrogen,1
2009-Q3,2009,3,Orange,Electric,30
2009-Q3,2009,3,Out Of State,Electric,1
2009-Q3,2009,3,Placer,Electric,1
2009-Q3,2009,3,Riverside,Electric,2
2009-Q3,2009,3,San Benito,Electric,1
2009-Q3,2009,3,San Bernardino,Electric,1
2009-Q3,2009,3,San Diego,Electric,13
2009-Q3,2009,3,San Francisco,Electric,3
2009-Q3,2009,3,San Mateo,Electric,5
2009-Q3,2009,3,Santa Barbara,Electric,3
2009-Q3,2009,3,Santa Clara,Electric,12
2009-Q3,2009,3,Santa Cruz,Electric,1
2009-Q3,2009,3,Sonoma,Electric,1
2009-Q3,2009,3,Ventura,Electric,17
2009-Q4,2009,4,Contra Costa,Electric,1
2009-Q4,2009,4,Los Angeles,Electric,60
2009-Q4,2009,4,Orange,Electric,1
2009-Q4,2009,4,San Diego,Electric,2
2009-Q4,2009,4,San Francisco,Electric,2
2009-Q4,2009,4,Santa Clara,Electric,3
2009-Q4,2009,4,Stanislaus,Electric,1
2010-Q1,2010,1,Los Angeles,Electric,5
2010-Q1,2010,1,Los Angeles,PHEV,29
2010-Q1,2010,1,Orange,Electric,2
2010-Q1,2010,1,Sacramento,Electric,1
2010-Q1,2010,1,San Mateo,Electric,1
2010-Q1,2010,1,Santa Clara,Electric,4
2010-Q1,2010,1,Santa Cruz,Electric,1
2010-Q2,2010,2,Alameda,Electric,1
2010-Q2,2010,2,Contra Costa,Electric,2
2010-Q2,2010,2,Humboldt,Electric,1
2010-Q2,2010,2,Los Angeles,Electric,5
2010-Q2,2010,2,Los Angeles,Hydrogen,1
2010-Q2,2010,2,Los Angeles,PHEV,122
2010-Q2,2010,2,Riverside,Electric,1
2010-Q2,2010,2,San Diego,Electric,2
2010-Q2,2010,2,San Francisco,Electric,1
2010-Q2,2010,2,San Mateo,Electric,2
2010-Q2,2010,2,Santa Clara,Electric,6
2010-Q2,2010,2,Ventura,Electric,1
2010-Q3,2010,3,Los Angeles,Electric,2
2010-Q3,2010,3,Los Angeles,Hydrogen,2
