period,year,quarter,county,Electric,Hydrogen,PHEV,total
2008-Q3,2008,3,Alameda,1,0,0,1
2008-Q3,2008,3,San Francisco,1,0,0,1
2008-Q3,2008,3,San Mateo,3,0,0,3
2008-Q3,2008,3,Santa Clara,4,0,0,4
2008-Q3,2008,3,Sonoma,1,0,0,1
2008-Q4,2008,4,Alameda,5,0,0,5
2008-Q4,2008,4,Contra Costa,1,0,0,1
2008-Q4,2008,4,Los Angeles,17,0,0,17
2008-Q4,2008,4,Marin,3,0,0,3
2008-Q4,2008,4,Napa,1,0,0,1
2008-Q4,2008,4,Orange,1,0,0,1
2008-Q4,2008,4,Out Of State,2,0,0,2
2008-Q4,2008,4,San Bernardino,1,0,0,1
2008-Q4,2008,4,San Diego,3,0,0,3
2008-Q4,2008,4,San Francisco,7,0,0,7
2008-Q4,2008,4,San Luis Obispo,1,0,0,1
2008-Q4,2008,4,San Mateo,6,0,0,6
2008-Q4,2008,4,Santa Barbara,1,0,0,1
2008-Q4,2008,4,Santa Clara,14,0,0,14
2008-Q4,2008,4,Sonoma,1,0,0,1
2008-Q4,2008,4,Ventura,1,0,0,1
2009-Q1,2009,1,Alameda,5,0,0,5
2009-Q1,2009,1,Contra Costa,1,0,0,1
2009-Q1,2009,1,Kern,1,0,0,1
2009-Q1,2009,1,Los Angeles,18,0,0,18
2009-Q1,2009,1,Marin,2,0,0,2
2009-Q1,2009,1,Orange,3,0,0,3
2009-Q1,2009,1,Placer,1,0,0,1
2009-Q1,2009,1,Sacramento,2,0,0,2
2009-Q1,2009,1,San Diego,2,0,0,2
2009-Q1,2009,1,San Francisco,2,0,0,2
2009-Q1,2009,1,San Mateo,3,0,0,3
2009-Q1,2009,1,Santa Clara,8,0,0,8
2009-Q1,2009,1,Santa Cruz,1,0,0,1
2009-Q1,2009,1,Sonoma,1,0,0,1
2009-Q1,2009,1,Ventura,1,0,0,1
2009-Q2,2009,2,Alameda,1,0,0,1
2009-Q2,2009,2,Contra Costa,3,0,0,3
2009-Q2,2009,2,Fresno,1,0,0,1
2009-Q2,2009,2,Los Angeles,43,0,0,43
2009-Q2,2009,2,Marin,5,0,0,5
2009-Q2,2009,2,Monterey,1,0,0,1
2009-Q2,2009,2,Napa,1,0,0,1
2009-Q2,2009,2,Orange,20,0,0,20
2009-Q2,2009,2,Out Of State,1,0,0,1
2009-Q2,2009,2,Placer,1,0,0,1
2009-Q2,2009,2,Sacramento,1,0,0,1
2009-Q2,2009,2,San Diego,15,0,0,15
2009-Q2,2009,2,San Francisco,4,0,0,4
2009-Q2,2009,2,San Joaquin,1,0,0,1
2009-Q2,2009,2,San Mateo,20,0,0,20
2009-Q2,2009,2,Santa Barbara,4,0,0,4
2009-Q2,2009,2,Santa Clara,20,0,0,20
2009-Q2,2009,2,Santa Cruz,1,0,0,1
2009-Q2,2009,2,Sonoma,1,0,0,1
2009-Q2,2009,2,Ventura,4,0,0,4
2009-Q3,2009,3,Alameda,1,0,0,1
2009-Q3,2009,3,Contra Costa,1,0,0,1
2009-Q3,2009,3,Los Angeles,141,1,0,142
2009-Q3,2009,3,Orange,30,0,0,30
2009-Q3,2009,3,Out Of State,1,0,0,1
2009-Q3,2009,3,Placer,1,0,0,1
2009-Q3,2009,3,Riverside,2,0,0,2
2009-Q3,2009,3,San Benito,1,0,0,1
2009-Q3,2009,3,San Bernardino,1,0,0,1
2009-Q3,2009,3,San Diego,13,0,0,13
2009-Q3,2009,3,San Francisco,3,0,0,3
