period,year,quarter,zip,city,county,Electric,Hydrogen,PHEV,total
2008-Q3,2008,3,94025,,,1,0,0,1
2008-Q3,2008,3,94062,,,1,0,0,1
2008-Q3,2008,3,94066,,,1,0,0,1
2008-Q3,2008,3,94105,,,1,0,0,1
2008-Q3,2008,3,94301,,,1,0,0,1
2008-Q3,2008,3,94303,,,1,0,0,1
2008-Q3,2008,3,94306,,,2,0,0,2
2008-Q3,2008,3,94560,,,1,0,0,1
2008-Q3,2008,3,95476,,,1,0,0,1
2008-Q4,2008,4,90024,,,2,0,0,2
2008-Q4,2008,4,90049,,,1,0,0,1
2008-Q4,2008,4,90064,,,1,0,0,1
2008-Q4,2008,4,90067,,,1,0,0,1
2008-Q4,2008,4,90068,,,1,0,0,1
2008-Q4,2008,4,90069,,,2,0,0,2
2008-Q4,2008,4,90077,,,1,0,0,1
2008-Q4,2008,4,90210,,,1,0,0,1
2008-Q4,2008,4,90212,,,1,0,0,1
2008-Q4,2008,4,90232,,,1,0,0,1
2008-Q4,2008,4,90265,,,2,0,0,2
2008-Q4,2008,4,90272,,,1,0,0,1
2008-Q4,2008,4,90402,,,1,0,0,1
2008-Q4,2008,4,91103,,,1,0,0,1
2008-Q4,2008,4,91320,,,1,0,0,1
2008-Q4,2008,4,92037,,,2,0,0,2
2008-Q4,2008,4,92075,,,1,0,0,1
2008-Q4,2008,4,92315,,,1,0,0,1
2008-Q4,2008,4,92649,,,1,0,0,1
2008-Q4,2008,4,93013,,,1,0,0,1
2008-Q4,2008,4,93405,,,1,0,0,1
2008-Q4,2008,4,94022,,,4,0,0,4
2008-Q4,2008,4,94024,,,1,0,0,1
2008-Q4,2008,4,94025,,,1,0,0,1
2008-Q4,2008,4,94027,,,1,0,0,1
2008-Q4,2008,4,94062,,,3,0,0,3
2008-Q4,2008,4,94070,,,1,0,0,1
2008-Q4,2008,4,94086,,,1,0,0,1
2008-Q4,2008,4,94087,,,1,0,0,1
2008-Q4,2008,4,94108,,,1,0,0,1
2008-Q4,2008,4,94109,,,1,0,0,1
2008-Q4,2008,4,94115,,,2,0,0,2
2008-Q4,2008,4,94118,,,2,0,0,2
2008-Q4,2008,4,94123,,,1,0,0,1
2008-Q4,2008,4,94301,,,3,0,0,3
2008-Q4,2008,4,94305,,,1,0,0,1
2008-Q4,2008,4,94563,,,1,0,0,1
2008-Q4,2008,4,94566,,,1,0,0,1
2008-Q4,2008,4,94574,,,1,0,0,1
2008-Q4,2008,4,94611,,,2,0,0,2
2008-Q4,2008,4,94618,,,1,0,0,1
2008-Q4,2008,4,94707,,,1,0,0,1
2008-Q4,2008,4,94920,,,1,0,0,1
2008-Q4,2008,4,94941,,,1,0,0,1
2008-Q4,2008,4,94947,,,1,0,0,1
2008-Q4,2008,4,95030,,,2,0,0,2
2008-Q4,2008,4,95070,,,1,0,0,1
2008-Q4,2008,4,95472,,,1,0,0,1
2008-Q4,2008,4,99999,,,2,0,0,2
2009-Q1,2009,1,90024,,,1,0,0,1
2009-Q1,2009,1,90064,,,1,0,0,1
2009-Q1,2009,1,90077,,,1,0,0,1
